"","Industry","n"
"1","Bank",7
"2","Basic Materials",1
"3","Building Decoration",25
"4","Building materials",6
"5","Car",14
"6","Car e-commerce",2
"7","Chemical industry",12
"8","Coal",2
"9","Commercial trade",3
"10","Communication",7
"11","Consumer Goods",3
"12","Consumer Services",9
"13","Defense military",3
"14","Delivery logistics",12
"15","E-commerce",2
"16","Education",12
"17","Electrical Equipment",10
"18","Electronics",18
"19","Equipment",1
"20","Finance",21
"21","Financials",25
"22","Food and drink",9
"23","Health Care",65
"24","Home appliance",6
"25","Human resources service",1
"26","Industrials",1
"27","Information Technology",32
"28","Leisure service",12
"29","Light manufacturing",15
"30","Logistics",1
"31","mechanical",10
"32","Media",5
"33","Medical biology",23
"34","Medical/ information technology",1
"35","Non-bank finance",2
"36","Non-ferrous metal",3
"37","Oil & Gas",1
"38","Real Estate",16
"39","Securities broker",7
"40","Steel",2
"41","Technology",29
"42","Textile",12
"43","Utilities",12
